Title, Link, Date, CommentsNb, LikesNb 
跟男友用剩的潤滑被家人發現.., http://www.dcard.tw/f/75a726e6-d4e3-4902-a410-2430a39fffcb/p/235881259, 2021-04-30, 110, 613 
婚禮穿這樣會不會太誇張啊, http://www.dcard.tw/f/be1a095b-175e-4523-9e06-66a05d939676/p/235883544, 2021-04-30, 149, 538 
請問這衣服要去哪裡買 女朋友想穿, http://www.dcard.tw/f/be1a095b-175e-4523-9e06-66a05d939676/p/235886837, 2021-05-01, 33, 530 
哇喔 五月必漲股, http://www.dcard.tw/f/3bceb81c-574e-4a96-8050-4df56096d0df/p/235883475, 2021-05-01, 43, 507 
#開箱 AirTag Hermès 鑰匙圈, http://www.dcard.tw/f/c573dca4-8afd-4c56-8c53-4402ead7bdad/p/235884108, 2021-04-30, 29, 500 
50公分長的巨無霸草莓聖代！？, http://www.dcard.tw/f/de977130-f3eb-467b-822e-b0e91124e9eb/p/235882882, 2021-04-30, 22, 496 
令人心動的長腿俱樂部：這腿長太不科學了吧😍, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235886674, 2021-05-01, 42, 492 
一餐就吃到1000大卡是不是很糟糕, http://www.dcard.tw/f/8a2a0b9a-7664-49b0-bff7-58389ef73a0d/p/235882478, 2021-04-30, 55, 486 
#請益 升大一該不該開始化妝, http://www.dcard.tw/f/cbd5285f-3cba-4bfc-86d0-1ab52d201459/p/235884641, 2021-04-30, 155, 481 
不知道在做什麼但看起來很認真的NU'EST一位公約, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235882743, 2021-04-30, 38, 470 
#請益 這種鼻子要怎麼修ಠ_ಠ, http://www.dcard.tw/f/cbd5285f-3cba-4bfc-86d0-1ab52d201459/p/235887256, 2021-05-01, 32, 458 
都幾歲了還領這薪水，你就是不上進！, http://www.dcard.tw/f/6eeeafb2-9dac-4d81-ae4b-ffecf0ad4444/p/235884639, 2021-04-30, 63, 456 
走過路過好險沒錯過！意外收穫滿滿, http://www.dcard.tw/f/cbd5285f-3cba-4bfc-86d0-1ab52d201459/p/235882989, 2021-05-01, 32, 453 
我沒有咪咪, http://www.dcard.tw/f/f72e3b1d-3c9a-4fec-8a61-41c76cc317af/p/235885880, 2021-05-01, 100, 452 
關於 Nu'est, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235881122, 2021-05-01, 36, 446 
來不及了 我看到了, http://www.dcard.tw/f/bd5f5b7c-5bb1-4a99-8e01-6c4e3451dd64/p/235885201, 2021-04-30, 10, 409 
不公開關係, http://www.dcard.tw/f/42851318-b9e2-4a75-8a05-9fe180becefe/p/235885300, 2021-04-30, 93, 405 
補習班遇到的酷酷學妹 END, http://www.dcard.tw/f/b5b2653a-6304-4564-9ea0-a4cec0be7aee/p/235885058, 2021-04-30, 10, 400 
不會再想交的星座, http://www.dcard.tw/f/4c6964fc-8b39-4480-a844-847f09e4e09d/p/235887411, 2021-05-01, 388, 389 
試試看在一起, http://www.dcard.tw/f/42851318-b9e2-4a75-8a05-9fe180becefe/p/235881409, 2021-04-30, 43, 384 
請問這種裙子要搭什麼鞋子才好看, http://www.dcard.tw/f/be1a095b-175e-4523-9e06-66a05d939676/p/235884826, 2021-04-30, 71, 381 
討厭綠色但做綠色美甲🌳, http://www.dcard.tw/f/16b1b561-788e-4214-b4b7-e3102a35fa0d/p/235885655, 2021-04-30, 24, 372 
紫色iPhone 12 實機質感評價高 銷量可能爆棚, http://www.dcard.tw/f/42bfdc63-8601-4e87-b53c-53d831caa2cf/p/235886566, 2021-05-01, 64, 365 
好想告訴你 什麼時候才要出第三季, http://www.dcard.tw/f/14185ae6-44ab-45e2-88da-ae97e0159c9f/p/235881231, 2021-05-01, 38, 365 
Brave Girls 7人出道初舞台，19歲少女獨自舉牌應援, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235887205, 2021-05-01, 23, 361 
我弟高中的作文根本瘋狗, http://www.dcard.tw/f/a1aaa6e6-2594-4968-b7dc-e1b14bea96f4/p/235888541, 2021-05-01, 36, 358 
韓國的籃球員也太帥了吧！！！, http://www.dcard.tw/f/863b960a-72a8-4479-80a2-b976275c002e/p/235881629, 2021-04-30, 123, 355 
快被大嫂搞瘋掉, http://www.dcard.tw/f/c1f60d65-4f49-4a56-9c00-f162c93e31a9/p/235886251, 2021-05-01, 47, 351 
#試色 不小心逛到的寶藏口紅！, http://www.dcard.tw/f/cbd5285f-3cba-4bfc-86d0-1ab52d201459/p/235882088, 2021-05-01, 41, 351 
#閒聊 大家有覺得近期女團風格越來越單一嗎, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235886267, 2021-05-01, 106, 348 
2021母親節保養必買經典商品，17 大品牌統整卡友母檔戰利品這裡看！, http://www.dcard.tw/f/cbd5285f-3cba-4bfc-86d0-1ab52d201459/p/235881640, 2021-04-30, 32, 347 
朋友約我打砲, http://www.dcard.tw/f/42851318-b9e2-4a75-8a05-9fe180becefe/p/235887286, 2021-05-01, 99, 343 
（更新課表）五年猴子進化史（成果分享）, http://www.dcard.tw/f/9b5213d6-4427-4a3c-b788-efa19493631c/p/235886869, 2021-05-01, 36, 332 
何孟遠新貼文, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235889900, 2021-05-01, 211, 329 
你們什麼時後是這麼性感的男人了？, http://www.dcard.tw/f/14f573f5-3f02-4821-8e18-f561d7b7db91/p/235881385, 2021-04-30, 15, 327 
那一天團長又想起了被巨兔支配的恐懼, http://www.dcard.tw/f/bd5f5b7c-5bb1-4a99-8e01-6c4e3451dd64/p/235886385, 2021-05-01, 9, 325 
台科大0人錄取的科系, http://www.dcard.tw/f/cd2959fe-5515-4c1e-bd35-1cd4c36b44f0/p/235883944, 2021-04-30, 58, 324 
#試色 還有誰不知道這支！溫柔到爆炸的肉桂磚紅色 DIOR黑蓋唇釉#820, http://www.dcard.tw/f/cbd5285f-3cba-4bfc-86d0-1ab52d201459/p/235882425, 2021-04-30, 12, 317 
《集中討論區 PART4 》何孟遠控元元、陳敬宣煽動荳荳　爆「雙面手法」：妳們敢做敢當嗎！？, http://www.dcard.tw/f/255fd275-fec2-49d2-8e46-2e1557ffaeb0/p/235890663, 2021-05-01, 345, 315 
#情報 好市多香水, http://www.dcard.tw/f/1a14ba93-3989-47e5-aedc-a3918963100e/p/235883951, 2021-04-30, 29, 290 
可愛的兩隻鯊魚, http://www.dcard.tw/f/bd5f5b7c-5bb1-4a99-8e01-6c4e3451dd64/p/235886693, 2021-05-01, 12, 286 
日常的穿穿搭搭((圖多(˙ᵕ​˙, http://www.dcard.tw/f/be1a095b-175e-4523-9e06-66a05d939676/p/235888215, 2021-05-01, 31, 284 
更）大象腿怎麼救😢（四肢和軀幹比例怪異）, http://www.dcard.tw/f/9b5213d6-4427-4a3c-b788-efa19493631c/p/235886132, 2021-05-01, 123, 284 
台中5間平價美食口袋名單分享, http://www.dcard.tw/f/de977130-f3eb-467b-822e-b0e91124e9eb/p/235886853, 2021-05-01, 27, 283 
#分享 Hermès Kelly Clochette 手鍊, http://www.dcard.tw/f/c573dca4-8afd-4c56-8c53-4402ead7bdad/p/235885764, 2021-05-01, 12, 275 
#分享 洞洞！就是洞洞！, http://www.dcard.tw/f/cbd5285f-3cba-4bfc-86d0-1ab52d201459/p/235883768, 2021-04-30, 13, 275 
原來是敗在學測成績ㄚ, http://www.dcard.tw/f/cd2959fe-5515-4c1e-bd35-1cd4c36b44f0/p/235884491, 2021-04-30, 57, 274 
#討論 許願六月回歸⋯, http://www.dcard.tw/f/8329565a-d1da-4a46-a3d3-aff6f9f8ddbf/p/235883334, 2021-04-30, 43, 274 
男生喜歡圓圓但五官精緻的女生嗎？, http://www.dcard.tw/f/42851318-b9e2-4a75-8a05-9fe180becefe/p/235881979, 2021-04-30, 49, 267 
2021 第一個包包 coach 雲朵☁️, http://www.dcard.tw/f/c573dca4-8afd-4c56-8c53-4402ead7bdad/p/235882936, 2021-04-30, 55, 265 
粉刺粉刺有尾巴的粉刺(˶‾᷄ ⁻̫ ‾᷅˵), http://www.dcard.tw/f/a1aaa6e6-2594-4968-b7dc-e1b14bea96f4/p/235881366, 2021-04-30, 8, 262 
